Date Start,Date End,Open,High,Low,Close,Volume,Market Cap
"Oct 28, 2023","Oct 29, 2023","$ 1,783.87","$ 1,802.35","$ 1,779.01","$ 1,782.99",$ 8.58B,$ 215.26B
"Oct 27, 2023","Oct 28, 2023","$ 1,808.91","$ 1,808.91","$ 1,757.21","$ 1,784.04",$ 13.24B,$ 214.88B
"Oct 26, 2023","Oct 27, 2023","$ 1,788.94","$ 1,866.70","$ 1,767.70","$ 1,808.12",$ 15.20B,$ 217.47B
"Oct 25, 2023","Oct 26, 2023","$ 1,786.61","$ 1,816.03","$ 1,764.53","$ 1,787.92",$ 16.39B,$ 215.35B
"Oct 24, 2023","Oct 25, 2023","$ 1,767.86","$ 1,854.08","$ 1,762.32","$ 1,784.03",$ 26.27B,$ 217.15B
"Oct 23, 2023","Oct 24, 2023","$ 1,670.56","$ 1,785.70","$ 1,666.09","$ 1,768.05",$ 12.95B,$ 203.86B
"Oct 22, 2023","Oct 23, 2023","$ 1,634.74","$ 1,671.79","$ 1,630.45","$ 1,670.12",$ 7.99B,$ 197.54B
"Oct 21, 2023","Oct 22, 2023","$ 1,610.93","$ 1,649.52","$ 1,598.54","$ 1,639.21",$ 7.87B,$ 195.07B
"Oct 20, 2023","Oct 21, 2023","$ 1,575.29","$ 1,633.91","$ 1,567.95","$ 1,611.92",$ 9.80B,$ 193.06B
"Oct 19, 2023","Oct 20, 2023","$ 1,570.23","$ 1,581.05","$ 1,552.09","$ 1,572.34",$ 7.18B,$ 188.19B
"Oct 18, 2023","Oct 19, 2023","$ 1,573.66","$ 1,592.11","$ 1,567.60","$ 1,574.02",$ 8.61B,$ 189.85B
"Oct 17, 2023","Oct 18, 2023","$ 1,603.37","$ 1,603.62","$ 1,559.76","$ 1,572.36",$ 10.67B,$ 190.63B
"Oct 16, 2023","Oct 17, 2023","$ 1,573.52","$ 1,618.31","$ 1,568.44","$ 1,604.07",$ 10.07B,$ 190.83B
"Oct 15, 2023","Oct 16, 2023","$ 1,568.72","$ 1,580.52","$ 1,566.37","$ 1,572.15",$ 5.39B,$ 189.01B
"Oct 14, 2023","Oct 15, 2023","$ 1,564.64","$ 1,572.85","$ 1,556.31","$ 1,568.58",$ 7.69B,$ 188.12B
"Oct 13, 2023","Oct 14, 2023","$ 1,549.31","$ 1,576.09","$ 1,549.27","$ 1,563.34",$ 9.33B,$ 187.36B
"Oct 12, 2023","Oct 13, 2023","$ 1,570.27","$ 1,572.99","$ 1,537.59","$ 1,553.17",$ 8.51B,$ 187.21B
"Oct 11, 2023","Oct 12, 2023","$ 1,574.88","$ 1,584.12","$ 1,555.01","$ 1,570.24",$ 8.09B,$ 188.68B
"Oct 10, 2023","Oct 11, 2023","$ 1,584.55","$ 1,599.68","$ 1,560.82","$ 1,571.61",$ 9.10B,$ 190.34B
"Oct 09, 2023","Oct 10, 2023","$ 1,644.44","$ 1,646.06","$ 1,558.58","$ 1,587.54",$ 6.91B,$ 193.60B
"Oct 08, 2023","Oct 09, 2023","$ 1,644.29","$ 1,653.66","$ 1,627.13","$ 1,640.35",$ 4.36B,$ 197.44B
"Oct 07, 2023","Oct 08, 2023","$ 1,649.94","$ 1,654.11","$ 1,640.05","$ 1,644.33",$ 6.07B,$ 198.04B
"Oct 06, 2023","Oct 07, 2023","$ 1,620.19","$ 1,662.43","$ 1,617.01","$ 1,651.93",$ 7.78B,$ 197.09B
"Oct 05, 2023","Oct 06, 2023","$ 1,651.66","$ 1,660.03","$ 1,615.77","$ 1,615.77",$ 7.40B,$ 196.95B
"Oct 04, 2023","Oct 05, 2023","$ 1,661.95","$ 1,661.95","$ 1,635.21","$ 1,654.23",$ 7.47B,$ 198.14B
"Oct 03, 2023","Oct 04, 2023","$ 1,654.78","$ 1,663.21","$ 1,644.13","$ 1,661.90",$ 10.99B,$ 199.10B
"Oct 02, 2023","Oct 03, 2023","$ 1,702.99","$ 1,719.12","$ 1,643.26","$ 1,659.32",$ 12.22B,$ 203.40B
"Oct 01, 2023","Oct 02, 2023","$ 1,660.74","$ 1,713.07","$ 1,652.29","$ 1,704.77",$ 6.73B,$ 200.16B
"Sep 30, 2023","Oct 01, 2023","$ 1,668.92","$ 1,676.07","$ 1,657.61","$ 1,660.72",$ 7.44B,$ 200.47B
"Sep 29, 2023","Sep 30, 2023","$ 1,654.60","$ 1,687.38","$ 1,653.01","$ 1,670.27",$ 11.43B,$ 200.44B
"Sep 28, 2023","Sep 29, 2023","$ 1,601.22","$ 1,668.01","$ 1,601.16","$ 1,656.24",$ 10.64B,$ 196.36B
"Sep 27, 2023","Sep 28, 2023","$ 1,599.45","$ 1,635.99","$ 1,591.68","$ 1,603.02",$ 7.79B,$ 192.93B
"Sep 26, 2023","Sep 27, 2023","$ 1,592.42","$ 1,602.04","$ 1,588.20","$ 1,598.27",$ 6.40B,$ 191.75B
"Sep 25, 2023","Sep 26, 2023","$ 1,586.36","$ 1,601.03","$ 1,570.45","$ 1,593.13",$ 7.23B,$ 190.77B
"Sep 24, 2023","Sep 25, 2023","$ 1,605.22","$ 1,610.58","$ 1,587.17","$ 1,587.94",$ 3.94B,$ 192.68B
"Sep 23, 2023","Sep 24, 2023","$ 1,602.21","$ 1,606.66","$ 1,597.40","$ 1,605.52",$ 4.85B,$ 192.60B
"Sep 22, 2023","Sep 23, 2023","$ 1,590.08","$ 1,606.85","$ 1,585.89","$ 1,602.09",$ 8.05B,$ 192.31B
"Sep 21, 2023","Sep 22, 2023","$ 1,625.39","$ 1,630.60","$ 1,577.91","$ 1,588.26",$ 9.21B,$ 193.15B
"Sep 20, 2023","Sep 21, 2023","$ 1,649.02","$ 1,654.29","$ 1,619.39","$ 1,628.60",$ 7.72B,$ 196.78B
"Sep 19, 2023","Sep 20, 2023","$ 1,642.77","$ 1,664.63","$ 1,633.45","$ 1,647.97",$ 8.25B,$ 197.99B
"Sep 18, 2023","Sep 19, 2023","$ 1,632.17","$ 1,672.33","$ 1,617.56","$ 1,640.01",$ 7.39B,$ 197.75B
"Sep 17, 2023","Sep 18, 2023","$ 1,642.96","$ 1,644.13","$ 1,623.10","$ 1,631.60",$ 4.53B,$ 196.65B
"Sep 16, 2023","Sep 17, 2023","$ 1,646.69","$ 1,655.02","$ 1,637.05","$ 1,643.63",$ 6.11B,$ 197.57B
"Sep 15, 2023","Sep 16, 2023","$ 1,629.79","$ 1,656.13","$ 1,618.83","$ 1,646.39",$ 7.73B,$ 196.20B
"Sep 14, 2023","Sep 15, 2023","$ 1,612.50","$ 1,643.09","$ 1,612.25","$ 1,631.19",$ 9.02B,$ 195.84B
"Sep 13, 2023","Sep 14, 2023","$ 1,595.43","$ 1,618.22","$ 1,585.85","$ 1,611.17",$ 9.22B,$ 192.71B
"Sep 12, 2023","Sep 13, 2023","$ 1,552.33","$ 1,617.31","$ 1,552.33","$ 1,596.98",$ 12.62B,$ 191.40B
