Date,Open,High,Low,Close,Volume,High_Low_Diff,Close_Change
"Dec 29, 2023",255.10,255.19,247.43,248.48,"100,615,300",7.759999999999991,
"Dec 28, 2023",263.66,265.13,252.71,253.18,"113,619,900",12.419999999999987,1.8915003219575066
"Dec 27, 2023",258.35,263.34,257.52,261.44,"106,494,400",5.819999999999993,3.262500987439765
"Dec 26, 2023",254.49,257.97,252.91,256.61,"86,892,400",5.060000000000031,-1.847460220318231
"Dec 22, 2023",256.76,258.22,251.37,252.54,"93,249,800",6.850000000000023,-1.5860644557889492
"Dec 21, 2023",251.90,254.8,248.55,254.5,"109,594,200",6.25,0.7761146749029946
"Dec 20, 2023",256.41,259.84,247.0,247.14,"125,097,000",12.839999999999975,-2.89194499017682
"Dec 19, 2023",253.48,258.34,253.01,257.22,"106,737,400",5.329999999999984,4.078659868900236
"Dec 18, 2023",253.78,258.74,251.36,252.08,"116,416,500",7.3799999999999955,-1.9982894020682762
"Dec 15, 2023",251.21,254.13,248.3,253.5,"135,720,800",5.829999999999984,0.5633132338940028
"Dec 14, 2023",241.22,253.88,240.79,251.05,"160,829,200",13.090000000000003,-0.9664694280078878
"Dec 13, 2023",234.19,240.3,228.2,239.29,"146,286,300",12.100000000000023,-4.684325831507675
"Dec 12, 2023",238.55,238.99,233.87,237.01,"95,328,300",5.1200000000000045,-0.9528187554849743
"Dec 11, 2023",242.74,243.44,237.45,239.74,"97,913,900",5.990000000000009,1.1518501329057962
"Dec 8, 2023",240.27,245.27,239.27,243.84,"102,980,100",6.0,1.7101860348710973
"Dec 7, 2023",241.55,244.08,236.98,242.64,"107,142,300",7.100000000000023,-0.49212598425197873
"Dec 6, 2023",242.92,246.57,239.17,239.37,"126,436,200",7.400000000000006,-1.3476755687438113
"Dec 5, 2023",233.87,246.66,233.7,238.72,"137,971,100",12.960000000000008,-0.2715461419559695
"Dec 4, 2023",235.75,239.37,233.29,235.58,"104,099,800",6.0800000000000125,-1.3153485254691621
"Dec 1, 2023",233.14,240.19,231.9,238.83,"121,173,500",8.289999999999992,1.3795738178113526
"Nov 30, 2023",245.14,245.22,236.91,240.08,"132,353,200",8.310000000000002,0.5233848344010417
"Nov 29, 2023",249.21,252.75,242.76,244.14,"135,401,300",9.990000000000009,1.691102965678093
"Nov 28, 2023",236.68,247.0,234.01,246.72,"148,549,900",12.990000000000009,1.05677070533301
"Nov 27, 2023",236.89,238.33,232.1,236.08,"112,031,800",6.230000000000018,-4.3125810635538215
"Nov 24, 2023",233.75,238.75,232.33,235.45,"65,125,200",6.4199999999999875,-0.26685869196882983
"Nov 22, 2023",242.04,244.01,231.4,234.21,"117,950,600",12.609999999999985,-0.5266510936504432
"Nov 21, 2023",235.04,243.62,233.34,241.2,"122,288,000",10.280000000000001,2.984501088766489
"Nov 20, 2023",234.04,237.1,231.02,235.6,"116,320,100",6.079999999999984,-2.321724709784412
"Nov 17, 2023",232.00,237.39,226.54,234.3,"142,532,800",10.849999999999994,-0.5517826825127248
"Nov 16, 2023",239.49,240.88,230.96,233.59,"136,816,800",9.919999999999987,-0.303030303030305
"Nov 15, 2023",239.29,246.7,236.45,242.84,"150,354,000",10.25,3.959929791515049
"Nov 14, 2023",235.03,238.14,230.72,237.41,"149,771,600",7.4199999999999875,-2.2360401910723082
"Nov 13, 2023",215.60,225.4,211.61,223.71,"140,447,600",13.789999999999992,-5.770607809275086
"Nov 10, 2023",210.03,215.38,205.69,214.65,"130,994,000",9.689999999999998,-4.049886013142013
"Nov 9, 2023",219.75,220.8,206.68,209.98,"142,110,500",14.120000000000005,-2.17563475425111
"Nov 8, 2023",223.15,224.15,217.64,222.11,"106,584,800",6.510000000000019,5.776740641965916
"Nov 7, 2023",219.98,223.12,215.72,222.18,"116,900,100",7.400000000000006,0.03151591553733901
"Nov 6, 2023",223.98,226.32,215.0,219.27,"117,335,800",11.319999999999993,-1.3097488522819334
"Nov 3, 2023",221.15,226.37,218.4,219.96,"119,281,000",7.969999999999999,0.3146805308523737
"Nov 2, 2023",212.97,219.2,211.45,218.51,"125,987,600",7.75,-0.659210765593754
"Nov 1, 2023",204.04,205.99,197.85,205.66,"121,661,700",8.140000000000015,-5.880737723673968
"Oct 31, 2023",196.12,202.8,194.07,200.84,"118,068,300",8.730000000000018,-2.343674025089948
"Oct 30, 2023",209.28,210.88,194.67,197.36,"136,448,200",16.210000000000008,-1.7327225652260414
"Oct 27, 2023",210.60,212.41,205.77,207.3,"94,881,200",6.639999999999986,5.036481556546413
"Oct 26, 2023",211.32,214.8,204.88,205.76,"115,112,600",9.920000000000016,-0.742884708152447
"Oct 25, 2023",215.88,220.1,212.2,212.42,"107,065,100",7.900000000000006,3.23678071539657
"Oct 24, 2023",216.50,222.05,214.11,216.52,"118,231,100",7.939999999999998,1.9301384050466108
"Oct 23, 2023",210.00,216.98,202.51,212.08,"150,683,400",14.469999999999999,-2.050618880472932
"Oct 20, 2023",217.01,218.86,210.42,211.99,"137,734,000",8.440000000000026,-0.04243681629574336
"Oct 19, 2023",225.95,230.61,216.78,220.11,"170,772,700",13.830000000000013,3.830369357045149
"Oct 18, 2023",252.70,254.63,242.08,242.68,"125,147,800",12.549999999999983,10.25396392712734
"Oct 17, 2023",250.10,257.18,247.08,254.85,"93,562,900",10.099999999999994,5.014834349760999
"Oct 16, 2023",250.05,255.4,248.48,253.92,"88,917,200",6.920000000000016,-0.3649205414949952
"Oct 13, 2023",258.90,259.6,250.22,251.12,"102,073,800",9.380000000000024,-1.1027095148078092
"Oct 12, 2023",262.92,265.41,256.63,258.87,"111,508,100",8.78000000000003,3.0861739407454625
"Oct 11, 2023",266.20,268.6,260.9,262.99,"103,706,300",7.7000000000000455,1.5915324294047295
"Oct 10, 2023",257.75,268.94,257.65,263.62,"122,656,000",11.29000000000002,0.23955283470853406
"Oct 9, 2023",255.31,261.36,252.05,259.67,"101,377,900",9.310000000000002,-1.4983688642743354
"Oct 6, 2023",253.98,261.65,250.65,260.53,"117,947,000",10.999999999999972,0.3311895867831982
"Oct 5, 2023",260.00,263.6,256.25,260.05,"119,159,200",7.350000000000023,-0.18423981883083362
"Oct 4, 2023",248.14,261.86,247.6,261.16,"129,721,600",14.26000000000002,0.42684099211689475
"Oct 3, 2023",248.61,250.02,244.45,246.53,"101,985,300",5.570000000000022,-5.601929851432086
"Oct 2, 2023",244.81,254.28,242.62,251.6,"123,810,400",11.659999999999997,2.0565448424126886
"Sep 29, 2023",250.00,254.77,246.35,250.22,"128,346,200",8.420000000000016,-0.54848966613672
"Sep 28, 2023",240.02,247.55,238.65,246.38,"117,058,900",8.900000000000006,-1.534649508432584
"Sep 27, 2023",244.26,245.33,234.58,240.5,"136,597,200",10.75,-2.386557350434282
"Sep 26, 2023",242.98,249.55,241.66,244.12,"101,993,600",7.890000000000015,1.5051975051975086
"Sep 25, 2023",243.38,247.1,238.31,246.99,"104,636,600",8.789999999999992,1.1756513190234408
"Sep 22, 2023",257.40,257.79,244.48,244.88,"127,524,100",13.31000000000003,-0.8542855986072406
"Sep 21, 2023",257.85,260.86,254.21,255.7,"119,531,000",6.650000000000006,4.418490689317212
"Sep 20, 2023",267.04,273.93,262.46,262.59,"122,514,600",11.470000000000027,2.6945639421196654
"Sep 19, 2023",264.35,267.85,261.2,266.5,"103,704,000",6.650000000000034,1.4890132906812958
"Sep 18, 2023",271.16,271.44,263.76,265.28,"101,543,300",7.680000000000007,-0.4577861163227115
"Sep 15, 2023",277.55,278.98,271.0,274.39,"133,422,800",7.980000000000018,3.434107358262972
"Sep 14, 2023",271.32,276.71,270.42,276.04,"107,709,800",6.289999999999964,0.6013338678523494
"Sep 13, 2023",270.07,274.98,268.1,271.3,"111,673,700",6.8799999999999955,-1.7171424431241866
"Sep 12, 2023",270.76,278.39,266.6,267.48,"135,999,900",11.789999999999964,-1.408035385182449
"Sep 11, 2023",264.27,274.85,260.61,273.58,"174,667,900",14.240000000000009,2.2805443397637015
"Sep 8, 2023",251.22,256.52,246.67,248.5,"118,367,700",9.849999999999994,-9.167336793625259
"Sep 7, 2023",245.07,252.81,243.27,251.49,"115,312,900",9.539999999999992,1.2032193158953763
"Sep 6, 2023",255.14,255.39,245.06,251.92,"116,959,800",10.329999999999984,0.17098095351701925
"Sep 5, 2023",245.00,258.0,244.86,256.49,"129,469,600",13.139999999999986,1.814067958081944
"Sep 1, 2023",257.26,259.08,242.01,245.01,"132,272,500",17.069999999999993,-4.47580802370463
"Aug 31, 2023",255.98,261.18,255.05,258.08,"108,861,700",6.1299999999999955,5.3344761438308685
"Aug 30, 2023",254.20,260.51,250.59,256.9,"121,988,400",9.919999999999987,-0.45722256664599836
"Aug 29, 2023",238.58,257.48,237.77,257.18,"134,047,600",19.710000000000008,0.10899182561308063
"Aug 28, 2023",242.58,244.38,235.35,238.82,"107,673,700",9.030000000000001,-7.138968815615532
"Aug 25, 2023",231.31,239.0,230.35,238.59,"106,612,200",8.650000000000006,-0.09630684197302619
"Aug 24, 2023",238.66,238.92,228.18,230.04,"99,777,400",10.73999999999998,-3.583553376084503
"Aug 23, 2023",229.34,238.98,229.29,236.86,"101,077,600",9.689999999999998,2.964701790992885
"Aug 22, 2023",240.25,240.82,229.55,233.19,"130,597,900",11.269999999999982,-1.5494384868698918
"Aug 21, 2023",221.55,232.13,220.58,231.28,"135,702,700",11.549999999999983,-0.8190745743814065
"Aug 18, 2023",214.12,217.58,212.36,215.49,"135,813,700",5.219999999999999,-6.827222414389478
"Aug 17, 2023",226.06,226.74,218.83,219.22,"120,718,400",7.909999999999997,1.730938790663128
"Aug 16, 2023",228.02,233.97,225.38,225.6,"112,484,500",8.590000000000003,2.9103184016056938
"Aug 15, 2023",238.73,240.5,232.61,232.96,"88,197,600",7.889999999999986,3.2624113475177463
"Aug 14, 2023",235.70,240.66,233.75,239.76,"98,595,300",6.909999999999997,2.9189560439560447
"Aug 11, 2023",241.77,243.79,238.02,242.65,"98,866,600",5.769999999999982,1.205372038705388
"Aug 10, 2023",245.40,251.8,243.0,245.34,"109,498,600",8.800000000000011,1.1085926231197085
"Aug 9, 2023",250.87,251.1,241.9,242.19,"101,596,300",9.199999999999989,-1.2839325018341952
"Aug 8, 2023",247.45,250.92,245.01,249.7,"96,642,200",5.909999999999997,3.100871216813239
"Aug 7, 2023",251.45,253.65,242.76,251.45,"111,097,900",10.890000000000015,0.7008410092110617
"Aug 4, 2023",260.97,264.77,253.11,253.86,"99,242,600",11.659999999999968,0.9584410419566591
"Aug 3, 2023",252.04,260.49,252.0,259.32,"97,569,100",8.490000000000009,2.1507917749940875
"Aug 2, 2023",255.57,259.52,250.49,254.11,"101,752,900",9.029999999999973,-2.009100724973001
"Aug 1, 2023",266.26,266.47,260.25,261.07,"83,166,000",6.220000000000027,2.7389713116366954
"Jul 31, 2023",267.48,269.08,263.78,267.43,"84,582,200",5.300000000000011,2.4361282414678165
"Jul 28, 2023",259.86,267.25,258.23,266.44,"111,446,000",9.019999999999982,-0.3701903301798648
"Jul 27, 2023",268.31,269.13,255.3,255.71,"103,697,300",13.829999999999984,-4.027173097132564
"Jul 26, 2023",263.25,268.04,261.75,264.35,"95,856,200",6.2900000000000205,3.3788275781158505
"Jul 25, 2023",272.38,272.9,265.0,265.28,"112,757,300",7.899999999999977,0.35180631738223056
"Jul 24, 2023",255.85,269.85,254.12,269.06,"136,508,500",15.730000000000018,1.4249095295536973
"Jul 21, 2023",268.00,268.0,255.8,260.02,"161,050,100",12.199999999999989,-3.359845387645888
"Jul 20, 2023",279.56,280.93,261.2,262.9,"175,158,300",19.730000000000018,1.1076071071455917
"Jul 19, 2023",296.04,299.29,289.52,291.26,"142,355,400",9.770000000000039,10.78737162419172
"Jul 18, 2023",290.15,295.26,286.01,293.34,"112,434,700",9.25,0.7141385703495207
"Jul 17, 2023",286.63,292.23,283.57,290.38,"131,569,600",8.660000000000025,-1.0090679757278176
"Jul 14, 2023",277.01,285.3,276.31,281.38,"119,771,100",8.990000000000009,-3.0993870101246657
"Jul 13, 2023",274.59,279.45,270.6,277.9,"112,681,500",8.849999999999966,-1.236761674603748
"Jul 12, 2023",276.33,276.52,271.46,271.99,"95,672,100",5.060000000000002,-2.126664267722189
"Jul 11, 2023",268.65,270.9,266.37,269.79,"91,972,400",4.529999999999973,-0.8088532666642112
"Jul 10, 2023",276.47,277.52,265.1,269.61,"119,425,400",12.419999999999959,-0.06671855887913081
"Jul 7, 2023",278.43,280.78,273.77,274.43,"113,602,000",7.009999999999991,1.7877675160416828
"Jul 6, 2023",278.09,279.97,272.88,276.54,"120,332,100",7.090000000000032,0.7688663775826221
"Jul 5, 2023",278.82,283.85,277.6,282.48,"131,530,900",6.25,2.1479713603818507
